epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3679,1.47372,1.99419,1.52715,0.59277,0.46004,0.4907,0.22168,1.72095,2.35394,2.14222,0.000660767,0.000660767,0.000660767
2,81.2029,1.64775,1.74003,1.5988,0.44976,0.43916,0.38969,0.15057,2.13659,2.22356,2.80204,0.00130115,0.00130115,0.00130115
3,119.521,1.68631,1.70687,1.64752,0.41185,0.43988,0.3483,0.12739,1.9627,3.12615,2.38573,0.00191513,0.00191513,0.00191513
4,157.021,1.67527,1.62784,1.64547,0.35373,0.43269,0.33571,0.1214,2.21659,2.31269,2.881,0.0018812,0.0018812,0.0018812
5,194.434,1.66018,1.5673,1.63068,0.45466,0.46364,0.38892,0.14534,1.95246,1.93275,2.21559,0.0018416,0.0018416,0.0018416
6,231.907,1.61776,1.50314,1.59819,0.58942,0.5522,0.56077,0.2388,2.03467,1.78279,2.25323,0.001802,0.001802,0.001802
7,267.937,1.56386,1.42564,1.56029,0.66934,0.59899,0.64578,0.28993,1.76638,1.6267,2.09897,0.0017624,0.0017624,0.0017624
8,306.001,1.57686,1.41023,1.57087,0.64763,0.59971,0.61964,0.30198,1.78171,1.40262,2.05267,0.0017228,0.0017228,0.0017228
9,343.538,1.53684,1.35585,1.54219,0.71513,0.66811,0.70992,0.3534,1.60572,1.2671,1.90018,0.0016832,0.0016832,0.0016832
10,380.198,1.52609,1.31671,1.53189,0.73898,0.67603,0.73536,0.36921,1.6391,1.22657,1.91423,0.0016436,0.0016436,0.0016436
11,418.367,1.51108,1.28532,1.50936,0.79953,0.67963,0.75765,0.38908,1.57556,1.13981,1.83399,0.001604,0.001604,0.001604
12,454.996,1.45917,1.26226,1.49705,0.75673,0.64795,0.72669,0.37397,1.55241,1.134,1.84933,0.0015644,0.0015644,0.0015644
13,492.507,1.45789,1.2265,1.48765,0.73495,0.64723,0.71851,0.33777,1.63548,1.18057,1.89659,0.0015248,0.0015248,0.0015248
14,529.883,1.44826,1.20743,1.4857,0.79788,0.6821,0.78351,0.41357,1.50782,1.06727,1.80286,0.0014852,0.0014852,0.0014852
15,565.707,1.40547,1.15695,1.44749,0.77015,0.69714,0.76965,0.39868,1.50549,1.10403,1.80165,0.0014456,0.0014456,0.0014456
16,603.231,1.425,1.16256,1.4553,0.76393,0.69193,0.77154,0.40686,1.52222,1.10654,1.81584,0.001406,0.001406,0.001406
17,639.715,1.38723,1.15454,1.45075,0.78697,0.66491,0.75858,0.3988,1.4976,1.0532,1.75947,0.0013664,0.0013664,0.0013664
18,676.692,1.38771,1.11862,1.44874,0.76981,0.73916,0.79918,0.44087,1.44519,0.98575,1.74504,0.0013268,0.0013268,0.0013268
19,714.627,1.36822,1.09437,1.43074,0.80979,0.72335,0.81252,0.46397,1.40772,0.97587,1.71414,0.0012872,0.0012872,0.0012872
20,750.836,1.33572,1.06483,1.41072,0.8167,0.71562,0.80923,0.45208,1.41525,0.89473,1.70765,0.0012476,0.0012476,0.0012476
21,788.398,1.3468,1.06301,1.39971,0.82026,0.73218,0.81848,0.46994,1.37317,0.91709,1.70213,0.001208,0.001208,0.001208
22,824.662,1.32099,1.02877,1.38647,0.7978,0.73002,0.81322,0.4528,1.38277,0.94992,1.70536,0.0011684,0.0011684,0.0011684
23,861.739,1.29193,1.04448,1.3906,0.83651,0.7257,0.83464,0.49238,1.32655,0.87699,1.64016,0.0011288,0.0011288,0.0011288
24,898.948,1.27796,1.01885,1.38383,0.81706,0.75883,0.83668,0.49838,1.30414,0.86447,1.63527,0.0010892,0.0010892,0.0010892
25,935.375,1.27307,0.98384,1.34481,0.85633,0.75956,0.85133,0.51009,1.3217,0.85609,1.63634,0.0010496,0.0010496,0.0010496
26,972.867,1.24983,0.9722,1.34672,0.8544,0.7478,0.8471,0.51231,1.30932,0.85356,1.61398,0.00101,0.00101,0.00101
27,1010.33,1.23274,0.96077,1.34435,0.82523,0.75594,0.83078,0.50215,1.33611,0.88719,1.62143,0.0009704,0.0009704,0.0009704
28,1046.55,1.24454,0.9608,1.35395,0.85982,0.74082,0.84424,0.51398,1.29171,0.83024,1.60959,0.0009308,0.0009308,0.0009308
29,1084.23,1.22558,0.94832,1.33477,0.8366,0.75564,0.85338,0.52763,1.24632,0.80191,1.58481,0.0008912,0.0008912,0.0008912
30,1120.63,1.21316,0.93833,1.32838,0.835,0.78618,0.85699,0.52466,1.25405,0.8076,1.57994,0.0008516,0.0008516,0.0008516
31,1157.75,1.2044,0.92567,1.31772,0.85254,0.78114,0.85848,0.53256,1.23888,0.7616,1.58908,0.000812,0.000812,0.000812
32,1195.06,1.17836,0.89905,1.30491,0.85822,0.76674,0.85443,0.52265,1.26806,0.7836,1.5757,0.0007724,0.0007724,0.0007724
33,1231.06,1.17448,0.89331,1.30519,0.83447,0.78033,0.85708,0.53923,1.2467,0.76838,1.58962,0.0007328,0.0007328,0.0007328
34,1268.87,1.18634,0.89039,1.31227,0.82599,0.79625,0.86114,0.55698,1.17056,0.73661,1.52081,0.0006932,0.0006932,0.0006932
35,1305.99,1.16832,0.86491,1.30299,0.8883,0.77865,0.87277,0.54755,1.20951,0.70866,1.53912,0.0006536,0.0006536,0.0006536
36,1343.02,1.145,0.85805,1.2893,0.86719,0.78977,0.87202,0.55889,1.1691,0.70933,1.51518,0.000614,0.000614,0.000614
37,1380.94,1.12472,0.85159,1.2735,0.88955,0.7869,0.8823,0.56984,1.15196,0.69786,1.50876,0.0005744,0.0005744,0.0005744
38,1417.63,1.12706,0.8412,1.26946,0.88574,0.7833,0.87891,0.57265,1.1574,0.69815,1.50981,0.0005348,0.0005348,0.0005348
39,1455.85,1.09491,0.82857,1.26051,0.87615,0.79338,0.88039,0.57092,1.14059,0.66799,1.49363,0.0004952,0.0004952,0.0004952
40,1493.8,1.07676,0.7992,1.25167,0.88915,0.79194,0.88297,0.57523,1.13261,0.67398,1.46955,0.0004556,0.0004556,0.0004556
41,1530.93,1.05281,0.72365,1.2649,0.89087,0.78834,0.87618,0.58196,1.1094,0.6779,1.46925,0.000416,0.000416,0.000416
42,1567.45,1.0145,0.67408,1.25091,0.87715,0.79677,0.88041,0.58853,1.07196,0.68607,1.43783,0.0003764,0.0003764,0.0003764
43,1603.28,0.98703,0.65936,1.23882,0.89723,0.80634,0.89053,0.59949,1.0731,0.66827,1.42791,0.0003368,0.0003368,0.0003368
44,1638.86,0.96966,0.63578,1.2167,0.90362,0.79266,0.89267,0.59691,1.08956,0.64902,1.44417,0.0002972,0.0002972,0.0002972
45,1674.37,0.9594,0.6298,1.21149,0.8917,0.80706,0.89589,0.60523,1.07174,0.64133,1.42364,0.0002576,0.0002576,0.0002576
46,1710.09,0.94976,0.61511,1.21535,0.89343,0.79669,0.89115,0.59889,1.04882,0.62573,1.42041,0.000218,0.000218,0.000218
47,1746.33,0.92821,0.60069,1.20116,0.9091,0.79266,0.89591,0.61695,1.02764,0.61768,1.39104,0.0001784,0.0001784,0.0001784
48,1782.3,0.92517,0.59535,1.19147,0.90966,0.79338,0.89703,0.61245,1.01725,0.60968,1.38428,0.0001388,0.0001388,0.0001388
49,1819.02,0.90744,0.58987,1.17127,0.90502,0.80058,0.89696,0.62054,1.00391,0.6075,1.37056,9.92e-05,9.92e-05,9.92e-05
50,1853.97,0.8865,0.58306,1.16207,0.91615,0.79986,0.89929,0.62598,0.99372,0.59503,1.36579,5.96e-05,5.96e-05,5.96e-05
